,movie,year,content_rating,genre,runtime_min,imdb_rating,metascore,votes
0,My Policeman,(2022),16,"['Drama', ' Romance']",113,6.5,50,10990
1,The People We Hate at the Wedding,(2022),16,['Comedy'],99,5.7,37,2290
2,Knives Out,(2019),12,"['Comedy', ' Crime', ' Drama']",130,7.9,82,622745
3,Once Upon a Time... in Hollywood,(2019),16,"['Comedy', ' Drama']",161,7.6,83,730262
4,The Dark Knight,(2008),16,"['Action', ' Crime', ' Drama']",152,9.0,84,2637033
5,Inception,(2010),12,"['Action', ' Adventure', ' Sci-Fi']",148,8.8,74,2336780
6,Aquaman,(2018),12,"['Action', ' Adventure', ' Fantasy']",143,6.8,55,473345
7,My Policeman,(2022),16,"['Drama', ' Romance']",113,6.5,50,10990
8,The People We Hate at the Wedding,(2022),16,['Comedy'],99,5.7,37,2290
9,Knives Out,(2019),12,"['Comedy', ' Crime', ' Drama']",130,7.9,82,622745
10,Once Upon a Time... in Hollywood,(2019),16,"['Comedy', ' Drama']",161,7.6,83,730262
11,The Dark Knight,(2008),16,"['Action', ' Crime', ' Drama']",152,9.0,84,2637033
12,Inception,(2010),12,"['Action', ' Adventure', ' Sci-Fi']",148,8.8,74,2336780
13,Aquaman,(2018),12,"['Action', ' Adventure', ' Fantasy']",143,6.8,55,473345
14,My Policeman,(2022),16,"['Drama', ' Romance']",113,6.5,50,10990
15,The People We Hate at the Wedding,(2022),16,['Comedy'],99,5.7,37,2290
16,Knives Out,(2019),12,"['Comedy', ' Crime', ' Drama']",130,7.9,82,622745
17,Once Upon a Time... in Hollywood,(2019),16,"['Comedy', ' Drama']",161,7.6,83,730262
18,The Dark Knight,(2008),16,"['Action', ' Crime', ' Drama']",152,9.0,84,2637033
19,Inception,(2010),12,"['Action', ' Adventure', ' Sci-Fi']",148,8.8,74,2336780
20,Aquaman,(2018),12,"['Action', ' Adventure', ' Fantasy']",143,6.8,55,473345
21,Oblivion,(I) (2013),12,"['Action', ' Adventure', ' Sci-Fi']",124,7.0,54,526423
22,My Policeman,(2022),16,"['Drama', ' Romance']",113,6.5,50,10990
23,The People We Hate at the Wedding,(2022),16,['Comedy'],99,5.7,37,2290
24,Knives Out,(2019),12,"['Comedy', ' Crime', ' Drama']",130,7.9,82,622745
25,Once Upon a Time... in Hollywood,(2019),16,"['Comedy', ' Drama']",161,7.6,83,730262
26,The Dark Knight,(2008),16,"['Action', ' Crime', ' Drama']",152,9.0,84,2637033
27,Inception,(2010),12,"['Action', ' Adventure', ' Sci-Fi']",148,8.8,74,2336780
28,Aquaman,(2018),12,"['Action', ' Adventure', ' Fantasy']",143,6.8,55,473345
29,Oblivion,(I) (2013),12,"['Action', ' Adventure', ' Sci-Fi']",124,7.0,54,526423
30,Mean Girls,(2004),6,['Comedy'],97,7.1,66,385391
31,My Policeman,(2022),16,"['Drama', ' Romance']",113,6.5,50,10990
32,The People We Hate at the Wedding,(2022),16,['Comedy'],99,5.7,37,2290
33,Knives Out,(2019),12,"['Comedy', ' Crime', ' Drama']",130,7.9,82,622745
34,Once Upon a Time... in Hollywood,(2019),16,"['Comedy', ' Drama']",161,7.6,83,730262
35,The Dark Knight,(2008),16,"['Action', ' Crime', ' Drama']",152,9.0,84,2637033
36,Inception,(2010),12,"['Action', ' Adventure', ' Sci-Fi']",148,8.8,74,2336780
