,movie,year,content_rating,genre,duration_min,imdb_rating,metascore,votes
0,My Policeman,2022,16,"['Drama', ' Romance']",113,6.5,50,10990
1,The People We Hate at the Wedding,2022,16,['Comedy'],99,5.7,37,2290
2,Knives Out,2019,12,"['Comedy', ' Crime', ' Drama']",130,7.9,82,622745
3,Once Upon a Time... in Hollywood,2019,16,"['Comedy', ' Drama']",161,7.6,83,730262
4,The Dark Knight,2008,16,"['Action', ' Crime', ' Drama']",152,9,84,2637033
5,Inception,2010,12,"['Action', ' Adventure', ' Sci-Fi']",148,8.8,74,2336780
6,Aquaman,2018,12,"['Action', ' Adventure', ' Fantasy']",143,6.8,55,473345
7,Oblivion,2013,12,"['Action', ' Adventure', ' Sci-Fi']",124,7,54,526423
8,Mean Girls,2004,6,['Comedy'],97,7.1,66,385391
9,Run Sweetheart Run,2020,18,"['Horror', ' Thriller']",104,5.4,51,3382
10,No Country for Old Men,2007,16,"['Crime', ' Drama', ' Thriller']",122,8.2,92,968828
11,Blacklight,2022,12,"['Action', ' Thriller']",104,4.8,27,17943
12,Samaritan,2022,16,"['Action', ' Drama', ' Fantasy']",102,5.7,45,43359
13,Brahmastra Part One: Shiva,2022,,"['Action', ' Adventure', ' Fantasy']",167,5.6,57,103588
14,Zack Snyder's Justice League,2021,18,"['Action', ' Adventure', ' Fantasy']",242,8,54,396185
15,The Prestige,2006,12,"['Drama', ' Mystery', ' Sci-Fi']",130,8.5,66,1326979
16,The Dark Knight Rises,2012,12,"['Action', ' Drama']",164,8.4,78,1697213
17,Mad Max: Fury Road,2015,16,"['Action', ' Adventure', ' Sci-Fi']",120,8.1,90,998270
18,Spider-Man: Een nieuw universum,2018,6,"['Animation', ' Action', ' Adventure']",117,8.4,87,523862
19,The Voyeurs,2021,18,"['Drama', ' Mystery', ' Thriller']",116,6,54,22388
20,Cash Truck,2021,16,"['Action', ' Crime', ' Thriller']",119,7.1,57,176844
21,Thirteen Lives,2022,16,"['Action', ' Adventure', ' Biography']",147,7.8,66,49899
22,Ready Player One,2018,12,"['Action', ' Adventure', ' Sci-Fi']",140,7.4,64,435643
23,Deep Water,2022,18,"['Drama', ' Mystery', ' Thriller']",115,5.4,53,45876
24,The Devil's Advocate,1997,16,"['Drama', ' Mystery', ' Thriller']",144,7.5,60,373022
25,The Usual Suspects,1995,16,"['Crime', ' Drama', ' Mystery']",106,8.5,77,1081901
26,"Argentina, 1985",2022,16,"['Biography', ' Crime', ' Drama']",140,7.8,78,8741
27,Terminator Genisys,2015,12,"['Action', ' Adventure', ' Sci-Fi']",126,6.3,38,279062
28,Legend,2015,16,"['Biography', ' Crime', ' Drama']",132,6.9,55,183899
29,Orphan: First Kill,2022,16,"['Crime', ' Drama', ' Horror']",99,5.9,54,29832
30,Venom,2018,12,"['Action', ' Adventure', ' Sci-Fi']",112,6.6,35,484114
31,Greenland,2020,12,"['Action', ' Thriller']",119,6.4,64,117594
32,A Quiet Place,2018,16,"['Drama', ' Horror', ' Sci-Fi']",90,7.5,82,527401
33,It Follows,2014,16,"['Horror', ' Mystery', ' Thriller']",100,6.8,83,243957
34,The Contractor,2022,16,"['Action', ' Drama', ' Thriller']",103,5.8,52,20621
35,Up in the Air,2009,AL,"['Comedy', ' Drama', ' Romance']",109,7.4,83,337075
36,A Beautiful Mind,2001,12,"['Biography', ' Drama']",135,8.2,72,930534
