,movie,year,content_rating,genre,runtime_min,imdb_rating,metascore,votes
0,Disenchanted,(2022),PG,"['Animation', ' Adventure', ' Comedy']",119,5.8,50,8571
1,Barbarian,(2022),R,"['Horror', ' Mystery', ' Thriller']",102,7.1,78,84913
2,Black Panther,(2018),PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,7.3,88,763886
3,See How They Run,(2022),PG-13,"['Comedy', ' Mystery']",98,6.5,60,28482
4,Enchanted,(2007),PG,"['Animation', ' Adventure', ' Comedy']",107,7.1,75,202415
5,Thor: Love and Thunder,(2022),PG-13,"['Action', ' Adventure', ' Comedy']",118,6.3,57,311944
6,Strange World,(2022),PG,"['Animation', ' Action', ' Adventure']",102,5.8,66,903
7,Home Alone,(1990),PG,"['Comedy', ' Family']",103,7.7,63,566706
8,Chariots of Fire,(1981),PG,"['Biography', ' Drama', ' Sport']",125,7.1,78,61157
9,Avatar,(2009),PG-13,"['Action', ' Adventure', ' Fantasy']",162,7.8,83,1246167
10,The Santa Clause,(1994),PG,"['Comedy', ' Drama', ' Family']",97,6.5,57,117334
11,Rogue One: A Star Wars Story,(2016),PG-13,"['Action', ' Adventure', ' Sci-Fi']",133,7.8,65,634606
12,Avengers: Endgame,(2019),PG-13,"['Action', ' Adventure', ' Drama']",181,8.4,78,1119426
13,Fight Club,(1999),R,['Drama'],139,8.8,66,2109486
14,Disenchanted,(2022),PG,"['Animation', ' Adventure', ' Comedy']",119,5.8,50,8571
15,Barbarian,(2022),R,"['Horror', ' Mystery', ' Thriller']",102,7.1,78,84913
16,Black Panther,(2018),PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,7.3,88,763886
17,See How They Run,(2022),PG-13,"['Comedy', ' Mystery']",98,6.5,60,28482
18,Enchanted,(2007),PG,"['Animation', ' Adventure', ' Comedy']",107,7.1,75,202415
19,Thor: Love and Thunder,(2022),PG-13,"['Action', ' Adventure', ' Comedy']",118,6.3,57,311944
20,Strange World,(2022),PG,"['Animation', ' Action', ' Adventure']",102,5.8,66,903
21,Home Alone,(1990),PG,"['Comedy', ' Family']",103,7.7,63,566706
22,Chariots of Fire,(1981),PG,"['Biography', ' Drama', ' Sport']",125,7.1,78,61157
23,Avatar,(2009),PG-13,"['Action', ' Adventure', ' Fantasy']",162,7.8,83,1246167
24,The Santa Clause,(1994),PG,"['Comedy', ' Drama', ' Family']",97,6.5,57,117334
25,Rogue One: A Star Wars Story,(2016),PG-13,"['Action', ' Adventure', ' Sci-Fi']",133,7.8,65,634606
26,Avengers: Endgame,(2019),PG-13,"['Action', ' Adventure', ' Drama']",181,8.4,78,1119426
27,Fight Club,(1999),R,['Drama'],139,8.8,66,2109486
28,Disenchanted,(2022),PG,"['Animation', ' Adventure', ' Comedy']",119,5.8,50,8571
29,Barbarian,(2022),R,"['Horror', ' Mystery', ' Thriller']",102,7.1,78,84913
