,movie,year,content_rating,genre,duration_min,imdb_rating,metascore,votes
0,Disenchanted,2022,PG,"['Animation', ' Adventure', ' Comedy']",119,5.8,50,8571
1,Barbarian,2022,R,"['Horror', ' Mystery', ' Thriller']",102,7.1,78,84913
2,Black Panther,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,7.3,88,763886
3,See How They Run,2022,PG-13,"['Comedy', ' Mystery']",98,6.5,60,28482
4,Enchanted,,PG,"['Animation', ' Adventure', ' Comedy']",107,7.1,75,202415
5,Thor: Love and Thunder,,PG-13,"['Action', ' Adventure', ' Comedy']",118,6.3,57,311944
6,Strange World,,PG,"['Animation', ' Action', ' Adventure']",102,5.8,66,903
7,Home Alone,,PG,"['Comedy', ' Family']",103,7.7,63,566706
8,Chariots of Fire,,PG,"['Biography', ' Drama', ' Sport']",125,7.1,78,61157
9,Avatar,,PG-13,"['Action', ' Adventure', ' Fantasy']",162,7.8,83,1246167
10,The Santa Clause,,PG,"['Comedy', ' Drama', ' Family']",97,6.5,57,117334
11,Rogue One: A Star Wars Story,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",133,7.8,65,634606
12,Avengers: Endgame,,PG-13,"['Action', ' Adventure', ' Drama']",181,8.4,78,1119426
13,Fight Club,,R,['Drama'],139,8.8,66,2109486
14,Morbius,,PG-13,"['Action', ' Adventure', ' Horror']",104,5.2,35,120193
15,Doctor Strange in the Multiverse of Madness,,PG-13,"['Action', ' Adventure', ' Fantasy']",126,6.9,60,405398
16,Titanic,,PG-13,"['Drama', ' Romance']",194,7.9,75,1167589
17,Prey,,R,"['Action', ' Adventure', ' Drama']",99,7.2,71,184230
18,Death on the Nile,,PG-13,"['Crime', ' Drama', ' Mystery']",127,6.3,52,145206
19,The Princess Bride,,PG,"['Adventure', ' Family', ' Fantasy']",98,8,77,427741
20,Eternals,,PG-13,"['Action', ' Adventure', ' Fantasy']",156,6.3,52,338921
21,Avengers: Infinity War,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",149,8.4,68,1071709
22,Willow,,PG,"['Action', ' Adventure', ' Drama']",126,7.2,47,115839
23,Spider-Man,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",121,7.4,73,815750
24,Zootopia,,PG,"['Animation', ' Adventure', ' Comedy']",108,8,78,498020
25,Encanto,,PG,"['Animation', ' Comedy', ' Family']",102,7.2,75,218905
26,Pinocchio,,PG,"['Adventure', ' Comedy', ' Drama']",105,5.1,38,31593
27,The Santa Clause 2,,G,"['Comedy', ' Family', ' Fantasy']",104,5.7,48,57784
28,The King's Man,,R,"['Action', ' Adventure', ' Thriller']",131,6.3,44,145739
29,Free Guy,,PG-13,"['Action', ' Adventure', ' Comedy']",115,7.1,62,367139
30,Deadpool,,R,"['Action', ' Adventure', ' Comedy']",108,8,65,1033204
31,Home Alone 2: Lost in New York,,PG,"['Adventure', ' Comedy', ' Crime']",120,6.8,46,354534
