,movie,year,content_rating,genre,duration_min,imdb_rating,metascore,votes
0,Falling for Christmas,2022,TV-PG,"['Comedy', ' Romance']",93,5.3,39,10642
1,The Wonder,2022,R,"['Drama', ' Mystery', ' Thriller']",108,6.7,71,10761
2,Enola Holmes 2,2022,PG-13,"['Action', ' Adventure', ' Crime']",129,6.8,64,48755
3,All Quiet on the Western Front,2022,R,"['Action', ' Drama', ' War']",148,7.9,76,67123
4,The Good Nurse,,R,"['Biography', ' Crime', ' Drama']",121,6.8,65,40865
5,Slumberland,,PG,"['Adventure', ' Comedy', ' Family']",117,6.7,39,6677
6,Glass Onion: A Knives Out Mystery,,PG-13,"['Comedy', ' Crime', ' Drama']",140,8.1,81,2915
7,Enola Holmes,,PG-13,"['Action', ' Adventure', ' Crime']",123,6.6,68,186727
8,The School for Good and Evil,,PG-13,"['Action', ' Comedy', ' Drama']",147,5.8,30,22689
9,The Bad Guys,,PG,"['Animation', ' Adventure', ' Comedy']",100,6.8,64,38306
10,Stutz,,R,['Documentary'],96,8.1,76,3089
11,Guillermo del Toro's Pinocchio,,PG,"['Animation', ' Drama', ' Family']",117,8,85,1038
12,The Stranger,,TV-MA,"['Crime', ' Drama', ' Thriller']",117,6.5,74,11848
13,Christmas with You,,TV-PG,"['Comedy', ' Family', ' Romance']",89,5.6,32,2225
14,Luckiest Girl Alive,,R,"['Drama', ' Mystery', ' Thriller']",113,6.4,54,39347
15,American Psycho,,R,"['Crime', ' Drama', ' Horror']",102,7.6,64,614541
16,Uncharted,,PG-13,"['Action', ' Adventure']",116,6.3,45,201873
17,Lost Bullet,,TV-MA,"['Action', ' Crime', ' Thriller']",92,6.3,78,11296
18,The Gray Man,,PG-13,"['Action', ' Thriller']",122,6.5,49,190034
19,Blonde,,NC-17,"['Biography', ' Drama', ' Romance']",167,5.5,50,49595
20,The Lord of the Rings: The Fellowship of the Ring,,PG-13,"['Action', ' Adventure', ' Drama']",178,8.8,92,1865782
21,Wendell & Wild,,PG-13,"['Animation', ' Adventure', ' Comedy']",105,6.5,69,6627
22,Titanic,,PG-13,"['Drama', ' Romance']",194,7.9,75,1167589
23,Bardo: False Chronicle of a Handful of Truths,,R,"['Comedy', ' Drama']",159,7.5,53,2147
24,Sing 2,,PG,"['Animation', ' Adventure', ' Comedy']",110,7.4,49,68328
25,Lou,,R,"['Action', ' Crime', ' Drama']",107,6.1,51,22348
26,The Gentlemen,,R,"['Action', ' Comedy', ' Crime']",113,7.8,51,337629
27,My Father's Dragon,,PG,"['Animation', ' Adventure', ' Comedy']",99,6.6,74,1054
28,RRR,,Not Rated,"['Action', ' Drama']",187,8,83,116075
29,Gladiator,,R,"['Action', ' Adventure', ' Drama']",155,8.5,67,1492927
30,Spider-Man,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",121,7.4,73,815750
31,Do Revenge,,TV-MA,['Comedy'],118,6.3,66,34231
32,Taxi Driver,,R,"['Crime', ' Drama']",114,8.2,94,828507
33,R.I.P.D.,,PG-13,"['Action', ' Adventure', ' Comedy']",96,5.6,25,134712
34,The Departed,,R,"['Crime', ' Drama', ' Thriller']",151,8.5,85,1319157
35,It,,R,['Horror'],135,7.3,69,547520
36,Don't Look Up,,R,"['Comedy', ' Drama', ' Sci-Fi']",138,7.2,49,532840
37,L茅on: The Professional,,R,"['Action', ' Crime', ' Drama']",110,8.5,64,1155974
38,Mr. Harrigan's Phone,,PG-13,"['Drama', ' Horror', ' Mystery']",104,6,55,25805
39,300,,R,"['Action', ' Drama']",117,7.6,52,820036
40,The Holiday,,PG-13,"['Comedy', ' Romance']",136,6.9,52,286536
41,The Lord of the Rings: The Return of the King,,PG-13,"['Action', ' Adventure', ' Drama']",201,9,94,1836710
42,Jurassic Park,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,8.2,68,985092
43,Roald Dahl's Matilda the Musical,,PG,"['Comedy', ' Drama', ' Family']",117,5.9,68,294
44,The Hobbit: An Unexpected Journey,,PG-13,"['Adventure', ' Fantasy']",169,7.8,58,827572
45,Gone Girl,,R,"['Drama', ' Mystery', ' Thriller']",149,8.1,79,978512
46,Arrival,,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",116,7.9,81,692255
47,Wind River,,R,"['Crime', ' Drama', ' Mystery']",107,7.7,73,252340
48,The Little Things,,R,"['Crime', ' Drama', ' Mystery']",128,6.3,54,103153
49,I Came By,,TV-MA,['Thriller'],110,6.1,57,23210
50,Day Shift,,R,"['Action', ' Comedy', ' Fantasy']",113,6.1,51,73634
51,Spirited Away,,PG,"['Animation', ' Adventure', ' Family']",125,8.6,96,759093
52,Baywatch,,R,"['Action', ' Comedy', ' Crime']",116,5.5,37,187428
53,Clueless,,PG-13,"['Comedy', ' Romance']",97,6.9,68,219793
54,Spiderhead,,R,"['Action', ' Crime', ' Drama']",106,5.4,54,55375
55,Hustle,,R,"['Comedy', ' Drama', ' Sport']",117,7.3,68,117192
56,The Power of the Dog,,R,"['Drama', ' Romance', ' Western']",126,6.8,89,173647
57,The Irishman,,R,"['Biography', ' Crime', ' Drama']",209,7.8,94,386826
58,Baby Driver,,R,"['Action', ' Crime', ' Drama']",113,7.6,86,536259
59,Kill Bill: Vol. 1,,R,"['Action', ' Crime', ' Drama']",111,8.2,69,1111495
60,The Nice Guys,,R,"['Action', ' Comedy', ' Crime']",116,7.3,70,328566
61,Captain America: Civil War,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",147,7.8,75,784845
62,The Lord of the Rings: The Two Towers,,PG-13,"['Action', ' Adventure', ' Drama']",179,8.8,87,1658479
63,Purple Hearts,,TV-14,"['Drama', ' Music', ' Romance']",122,6.7,30,36665
64,Sicario,,R,"['Action', ' Crime', ' Drama']",121,7.6,82,429716
65,The Adam Project,,PG-13,"['Action', ' Adventure', ' Comedy']",106,6.7,55,198879
66,2001: A Space Odyssey,,G,"['Adventure', ' Sci-Fi']",149,8.3,84,667451
67,Venom,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,6.6,35,484114
68,The Revenant,,R,"['Action', ' Adventure', ' Drama']",156,8,76,801310
69,Uncut Gems,,R,"['Crime', ' Drama', ' Thriller']",135,7.4,91,281518
70,Jaws,,PG,"['Adventure', ' Thriller']",124,8.1,87,605551
71,Frozen,,PG,"['Animation', ' Adventure', ' Comedy']",102,7.4,75,624195
72,Beauty and the Beast,,PG,"['Adventure', ' Family', ' Fantasy']",129,7.1,65,309588
73,The King,,R,"['Biography', ' Drama', ' History']",140,7.3,62,130168
74,Red Notice,,PG-13,"['Action', ' Comedy', ' Thriller']",118,6.3,37,274720
75,Legally Blonde,,PG-13,"['Comedy', ' Romance']",96,6.4,59,219756
